epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4932.51,0.79424,0.47243,0.94536,0.87962,0.90716,0.94356,0.77752,0.63777,0.4131,0.87643,0.00016516,0.00016516,0.00016516
43,5051.05,0.78374,0.46534,0.94151,0.87393,0.92123,0.94961,0.78834,0.63935,0.40487,0.87737,0.000162408,0.000162408,0.000162408
44,5168.92,0.7788,0.46176,0.9435,0.8743,0.93298,0.95328,0.78546,0.64248,0.40792,0.88309,0.000159655,0.000159655,0.000159655
45,5288.29,0.77506,0.45704,0.94389,0.91161,0.8907,0.94796,0.77825,0.64614,0.42002,0.88073,0.000156903,0.000156903,0.000156903
46,5406.54,0.76843,0.45656,0.9402,0.87923,0.90217,0.94782,0.78195,0.63504,0.41704,0.87616,0.000154151,0.000154151,0.000154151
47,5524.49,0.75539,0.45703,0.93928,0.87772,0.94648,0.95116,0.78581,0.63698,0.39839,0.87893,0.000151399,0.000151399,0.000151399
48,5642.24,0.75683,0.44323,0.93664,0.90941,0.88945,0.94922,0.78473,0.63275,0.40881,0.87866,0.000148647,0.000148647,0.000148647
49,5762.17,0.7503,0.44236,0.934,0.8957,0.89722,0.9451,0.78959,0.6259,0.41522,0.87395,0.000145894,0.000145894,0.000145894
50,5882.3,0.74582,0.43289,0.93136,0.905,0.88906,0.94935,0.78452,0.62568,0.41162,0.87765,0.000143142,0.000143142,0.000143142
51,6000.94,0.74341,0.43125,0.92791,0.89436,0.90693,0.95058,0.78203,0.63224,0.41138,0.87659,0.00014039,0.00014039,0.00014039
52,6118.85,0.74984,0.43989,0.93173,0.8902,0.92286,0.95852,0.79446,0.6341,0.40686,0.87563,0.000137638,0.000137638,0.000137638
53,6237.99,0.74405,0.43843,0.92976,0.91042,0.91379,0.95267,0.78811,0.63914,0.39664,0.87833,0.000134886,0.000134886,0.000134886
54,6356.96,0.72512,0.43089,0.92298,0.91217,0.90761,0.9541,0.79449,0.62849,0.39179,0.87806,0.000132133,0.000132133,0.000132133
55,6476.57,0.72733,0.42388,0.92425,0.89894,0.91208,0.95369,0.79806,0.62514,0.39564,0.87468,0.000129381,0.000129381,0.000129381
56,6596.91,0.72536,0.42406,0.92642,0.87809,0.93645,0.95384,0.79214,0.61684,0.393,0.87538,0.000126629,0.000126629,0.000126629
57,6716.52,0.71905,0.41891,0.92013,0.87782,0.91889,0.94539,0.78163,0.62492,0.40187,0.87806,0.000123877,0.000123877,0.000123877
58,6835.78,0.71737,0.42008,0.92035,0.8978,0.91389,0.95149,0.78824,0.62986,0.3906,0.87515,0.000121125,0.000121125,0.000121125
59,6955.33,0.7126,0.41332,0.92214,0.89248,0.91578,0.95305,0.79158,0.62643,0.39807,0.87566,0.000118372,0.000118372,0.000118372
60,7073.58,0.70913,0.40965,0.91978,0.87075,0.94025,0.95371,0.79241,0.63165,0.4006,0.87957,0.00011562,0.00011562,0.00011562
61,7191.01,0.69678,0.40448,0.91477,0.89262,0.9172,0.95502,0.79575,0.63059,0.39579,0.87978,0.000112868,0.000112868,0.000112868
62,7308.51,0.70364,0.41287,0.91695,0.89604,0.92691,0.95543,0.79758,0.62068,0.3898,0.8758,0.000110116,0.000110116,0.000110116
63,7427.92,0.70521,0.40524,0.91829,0.87552,0.93262,0.95154,0.79113,0.62594,0.3938,0.87694,0.000107364,0.000107364,0.000107364
64,7546.49,0.69125,0.39749,0.91163,0.87509,0.92749,0.94484,0.79227,0.6246,0.38283,0.87719,0.000104611,0.000104611,0.000104611
65,7664.95,0.68834,0.39383,0.90656,0.90817,0.89206,0.94994,0.79152,0.6266,0.38505,0.87515,0.000101859,0.000101859,0.000101859
66,7783.92,0.69019,0.40227,0.91455,0.89081,0.91563,0.93776,0.77954,0.62664,0.39562,0.87818,9.9107e-05,9.9107e-05,9.9107e-05
67,7902.59,0.68542,0.39046,0.90825,0.89362,0.89294,0.95045,0.795,0.62771,0.40297,0.87856,9.63548e-05,9.63548e-05,9.63548e-05
68,8022.37,0.67287,0.38691,0.90358,0.8853,0.93791,0.95324,0.79414,0.63187,0.38192,0.87575,9.36026e-05,9.36026e-05,9.36026e-05
69,8140.66,0.68139,0.38768,0.91096,0.8899,0.926,0.95276,0.78916,0.62881,0.38236,0.87281,9.08504e-05,9.08504e-05,9.08504e-05
70,8258.37,0.66917,0.3824,0.90221,0.89731,0.91373,0.94683,0.79606,0.62449,0.39621,0.87246,8.80982e-05,8.80982e-05,8.80982e-05
71,8376.66,0.66165,0.3803,0.90341,0.89105,0.90493,0.95031,0.79304,0.61766,0.38767,0.87191,8.5346e-05,8.5346e-05,8.5346e-05
72,8493.98,0.66675,0.37441,0.9021,0.89243,0.91078,0.95597,0.80616,0.61737,0.38786,0.87364,8.25938e-05,8.25938e-05,8.25938e-05
73,8613.69,0.66668,0.38248,0.90399,0.88796,0.9168,0.94653,0.79353,0.62262,0.40108,0.87595,7.98416e-05,7.98416e-05,7.98416e-05
74,8731.59,0.65769,0.37441,0.90081,0.8904,0.91761,0.95161,0.80033,0.61562,0.38953,0.87601,7.70894e-05,7.70894e-05,7.70894e-05
75,8848.58,0.66015,0.37318,0.89781,0.88524,0.92348,0.95563,0.80032,0.62304,0.39137,0.87877,7.43372e-05,7.43372e-05,7.43372e-05
76,8964.89,0.65072,0.37244,0.89803,0.89175,0.89946,0.94948,0.79712,0.62136,0.38975,0.87629,7.1585e-05,7.1585e-05,7.1585e-05
